,ns,host,time,value,plugin_running_on,swan_loadpoint_qps,achieved_qps_percent,swan_experiment,swan_aggressor_name,swan_phase,swan_repetition,throughputs
0,/intel/swan/mutilate/ovh8/percentile/95th,ovh8,2016-12-20 01:12:02.940,317.7,ovh8,375000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 14;,0,
1,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-19 14:23:28.824,54.8,ovh8,50000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 1;,0,
2,/intel/swan/mutilate/ovh8/percentile/99_000000th/custom,ovh8,2016-12-19 14:23:28.824,260.172456,ovh8,50000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 1;,0,
3,/intel/swan/mutilate/ovh8/percentile/95th,ovh8,2016-12-19 21:56:36.823,297.2,ovh8,325000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 12;,0,
4,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-20 04:00:43.760,60.2,ovh8,350000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 13;,0,
5,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-20 01:12:02.940,60.2,ovh8,375000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 14;,0,
6,/intel/swan/mutilate/ovh8/percentile/10th,ovh8,2016-12-19 13:39:11.150,154.5,ovh8,425000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 16;,0,
7,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-20 01:12:02.940,385.5,ovh8,375000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 14;,0,
8,/intel/swan/mutilate/ovh8/percentile/5th,ovh8,2016-12-19 17:38:47.125,97.4,ovh8,100000,99.96%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 3;,0,
9,/intel/swan/mutilate/ovh8/percentile/99_000000th/custom,ovh8,2016-12-20 00:54:12.398,347.307183,ovh8,325000,99.98%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 12;,0,
10,/intel/swan/mutilate/ovh8/percentile/99_000000th/custom,ovh8,2016-12-19 22:05:29.615,371.284134,ovh8,350000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 13;,0,
11,/intel/swan/mutilate/ovh8/avg,ovh8,2016-12-19 19:07:33.852,204.8,ovh8,350000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 13;,0,
